node_id,x_um,y_um,sentaurus_holes_cm3,vela_holes_cm3,delta_log10_holes_decade,delta_psi_V,delta_phip_V,delta_phip_minus_psi_V,predicted_delta_log10_holes_decade,density_relation_residual_decade,minus_100mV_plateau
118,0.375,0.9375,36.56207862524602,0.7657265209665775,-1.6789571890892405,5.404373786266348e-06,-0.09993652843766121,-0.09994193281144748,-1.6789505759446952,-6.613144545308813e-06,1
119,0.375,1.0,47.85646231283419,1.00209960481428,-1.6790297003044585,3.002257924489271e-06,-0.0999432444733408,-0.09994624673126529,-1.679023046607999,-6.653696459579805e-06,1
120,0.46875,0.5625,4.910889343931606,0.10295132459936644,-1.678528209633501,-0.00012091292351268379,-0.10003731944006677,-0.09991640651655409,-1.678521753064175,-6.456569326074302e-06,1
121,0.46875,0.625,4.809835424356255,0.10076392518211222,-1.6788251398320315,-3.1441495030648525e-05,-0.09996552330003716,-0.09993408180500651,-1.6788186848413817,-6.4549906497735066e-06,1
122,0.5625,0.5625,119.14187514640503,120.74509473693732,0.005805065514672365,-0.00012792179471698972,0.00021803177742052426,0.000345953572137514,0.005811764219991889,-6.6987053195235666e-06,0
123,0.5625,0.625,28.66291781669349,0.5983399885238445,-1.6803723696808175,3.3624991349512356e-05,-0.09999254981406525,-0.10002617480541476,-1.6803657791563136,-6.5905245039132865e-06,1
124,0.46875,0.6875,5.92068267024698,0.12403194065717138,-1.678838245991968,2.4697092822378863e-05,-0.09991016393582797,-0.09993486102865035,-1.678831775222454,-6.470769513988728e-06,1
125,0.46875,0.75,8.164576933377019,0.17105441634916038,-1.6787993942238557,4.813350083887613e-05,-0.09988441336771059,-0.09993254686854947,-1.678792899043808,-6.495180047805249e-06,1
126,0.5625,0.6875,10.353464203064089,0.2160840546822623,-1.6804629657509056,0.00013483411320258654,-0.09989673815530109,-0.10003157226850368,-1.680456452545419,-6.513205486502471e-06,1
127,0.5625,0.75,7.233613371769127,0.15128916065546677,-1.6795474790685319,0.00017606293715433097,-0.09980101529824914,-0.09997707823540347,-1.6795409930812546,-6.485987277260463e-06,1
128,0.65625,0.5625,1132.6312761422564,1135.3327058871298,0.0010345989579990088,-6.068909788714549e-05,1.3058127383835938e-06,6.199491062552909e-05,0.001041468660574571,-6.86970257556224e-06,0
129,0.65625,0.625,884.587838227569,903.6951314066876,0.009280978387488575,0.00023508814816164403,0.0007879594639224052,0.0005528713157607612,0.009287829321562904,-6.850934074329254e-06,0
130,0.75,0.5625,1724.1365677476456,1723.5835503644062,-0.00013932244600452906,0.00015352845767724332,0.00014564591844834496,-7.882539228898366e-06,-0.00013242083083618014,-6.901615168348926e-06,0
