id,mesh,branch,bias_V,contact,component,reference_delta_dex,candidate_delta_dex,error_dex,pass
P1,M0,forward,0.76,Anode,total,0.25649500323856383,0.2565318047245176,3.680148595375243e-05,True
P1,M0,forward,0.76,Anode,electron,0.29004316540519554,0.2900881203796742,4.495497447865038e-05,True
P1,M0,forward,0.76,Anode,hole,0.16876223414228325,0.16878046559325718,1.8231450973932306e-05,True
P1,M0,forward,0.76,Cathode,total,0.25649500323856317,0.25653180472451914,3.680148595597288e-05,True
P1,M0,forward,0.76,Cathode,electron,0.2900236528428626,0.2900686043943159,4.495155145334273e-05,True
P1,M0,forward,0.76,Cathode,hole,0.16879160346791156,0.16880983617105155,1.8232703139997586e-05,True
P1,M0,forward,0.78,Anode,total,0.2565348929474779,0.2565784904634281,4.359751595023331e-05,True
P1,M0,forward,0.78,Anode,electron,0.29008810239758065,0.29014174248082053,5.36400832398809e-05,True
P1,M0,forward,0.78,Anode,hole,0.16878941884692364,0.16881014408975797,2.072524283433519e-05,True
P1,M0,forward,0.78,Cathode,total,0.256534892947476,0.2565784904488123,4.359750133631213e-05,True
P1,M0,forward,0.78,Cathode,electron,0.290071091880107,0.29012472806642037,5.363618631337719e-05,True
P1,M0,forward,0.78,Cathode,hole,0.16881502054454997,0.16883574752555777,2.072698100780146e-05,True
P1,M0,forward,0.8,Anode,total,0.2565663421238729,0.2566153360526058,4.8993928732865566e-05,True
P1,M0,forward,0.8,Anode,electron,0.29012407528616435,0.29018481292702886,6.0737640864505504e-05,True
P1,M0,forward,0.8,Anode,hole,0.16880950013663149,0.1688317469092349,2.2246772603401466e-05,True
P1,M0,forward,0.8,Cathode,total,0.25656634212387247,0.25661533605015874,4.8993926286267087e-05,True
P1,M0,forward,0.8,Cathode,electron,0.29010946837605384,0.29017020208752414,6.0733711470306595e-05,True
P1,M0,forward,0.8,Cathode,hole,0.16883148299718975,0.16885373157718997,2.224858000021701e-05,True
P1,M0,reverse,-0.1,Anode,total,0.09349411105815306,0.09348151983544209,1.259122271096702e-05,True
P1,M0,reverse,-0.1,Anode,electron,0.2898045518970689,0.2898045522101176,3.130486980751357e-10,True
P1,M0,reverse,-0.1,Anode,hole,0.023066550114622435,0.023062308262940354,4.241851682081077e-06,True
P1,M0,reverse,-0.1,Cathode,total,0.09349411105815096,0.0934815201357559,1.2590922395055992e-05,True
P1,M0,reverse,-0.1,Cathode,electron,0.08519219990808023,0.0851794591698036,1.274073827663147e-05,True
P1,M0,reverse,-0.1,Cathode,hole,0.16864349479382598,0.16864350264565112,7.85182513451943e-09,True
