id,mesh,branch,bias_V,contact,component,reference_A_per_um,candidate_A_per_um,absolute_error_A_per_um,relative_error,log_error_dex,pass
P0,original,forward,0.38,Anode,total,1.51444004038089e-12,1.5136144346662846e-12,8.256057146053246e-16,0.0005451557622563124,0.00023682269782166732,True
P0,original,forward,0.38,Anode,electron,1.05072421330736e-12,1.0501509669391394e-12,5.732463682206314e-16,0.0005455726259664525,0.00023700383821815865,True
P0,original,forward,0.38,Anode,hole,4.63715827073536e-13,4.634634677271452e-13,2.5235934639075166e-16,0.0005442111993100735,0.0002364122557852804,True
P0,original,forward,0.38,Cathode,total,-1.51444004038089e-12,-1.5136144115034895e-12,8.25628877400444e-16,0.0005451710568830403,0.00023682934381678896,True
P0,original,forward,0.38,Cathode,electron,-1.05331024030869e-12,-1.0527361596926379e-12,5.740806160520903e-16,0.0005450251920876099,0.0002367659609912037,True
P0,original,forward,0.38,Cathode,hole,-4.61129800072201e-13,-4.608782518108515e-13,2.5154826134946435e-16,0.0005455042404764959,0.00023697412256620635,True
P0,original,forward,0.4,Anode,total,3.27657040462766e-12,3.2747803600104712e-12,1.7900446171889724e-15,0.0005463165432553518,0.00023732709387138556,True
P0,original,forward,0.4,Anode,electron,2.27440362180889e-12,2.2731603745960315e-12,1.2432472128585073e-15,0.0005466255861260552,0.00023746138286987085,True
P0,original,forward,0.4,Anode,hole,1.00216678281877e-12,1.0016199854144395e-12,5.467974043304652e-16,0.0005456151747441693,0.0002370223270049049,True
P0,original,forward,0.4,Cathode,total,-3.27657040462764e-12,-3.2747803098841787e-12,1.790094743461272e-15,0.0005463318416515773,0.00023733374151221136,True
P0,original,forward,0.4,Cathode,electron,-2.27840621696411e-12,-2.2771616348077574e-12,1.244582156352583e-15,0.0005462512115205434,0.00023729870515116865,True
P0,original,forward,0.4,Cathode,hole,-9.98164187663537e-13,-9.97618675076421e-13,5.455125871159592e-16,0.0005465158877247172,0.0002374137154058445,True
P0,original,forward,0.42,Anode,total,7.08980416518882e-12,7.085923190839559e-12,3.88097434926123e-15,0.000547402193182845,0.00023779884362495513,True
P0,original,forward,0.42,Anode,electron,4.92299869328779e-12,4.920302636832282e-12,2.696056455508665e-15,0.000547645169840198,0.00023790442485469701,True
P0,original,forward,0.42,Anode,hole,2.16680547190103e-12,2.165620554007278e-12,1.1849178937521608e-15,0.000546850148348842,0.0002375589623544835,True
P0,original,forward,0.42,Cathode,total,-7.08980416518881e-12,-7.085923082368672e-12,3.881082820137636e-15,0.0005474174927417447,0.00023780549177824855,True
P0,original,forward,0.42,Cathode,electron,-4.92925483298221e-12,-4.92655660079335e-12,2.6982321888604637e-15,0.0005473914983673156,0.0002377941963817219,True
P0,original,forward,0.42,Cathode,hole,-2.1605493322066e-12,-2.159366481575322e-12,1.1828506312779805e-15,0.0005474767984445503,0.00023783126202556531,True
P0,original,forward,0.44,Anode,total,1.53417604260111e-11,1.533334642981634e-11,8.41399619475981e-15,0.0005484374648749142,0.00023824870289489318,True
P0,original,forward,0.44,Anode,electron,1.06554967336332e-11,1.0649650625177716e-11,5.846108455483631e-15,0.0005486472007476545,0.0002383398400196699,True
P0,original,forward,0.44,Anode,hole,4.68626369237788e-12,4.683695804638624e-12,2.5678877392559847e-15,0.0005479605732457193,0.000238041477891328,True
P0,original,forward,0.44,Cathode,total,-1.53417604260111e-11,-1.5333346195110193e-11,8.414230900906134e-15,0.0005484527633895439,0.00023825535060130096,True
P0,original,forward,0.44,Cathode,electron,-1.06653973628341e-11,-1.0659547629494967e-11,5.849733339131946e-15,0.0005484777678810746,0.0002382662158731966,True
P0,original,forward,0.44,Cathode,hole,-4.676363063177e-12,-4.673798565615226e-12,2.564497561774188e-15,0.0005483957355594915,0.0002382305701392047,True
P0,original,forward,0.46,Anode,total,3.31991442211867e-11,3.318090302709086e-11,1.8241194095839664e-14,0.0005494477199264275,0.00023868769206893128,True
P0,original,forward,0.46,Anode,electron,2.30620286734902e-11,2.3049352572161122e-11,1.2676101329077773e-14,0.0005496524832461487,0.00023877666854582436,True
P0,original,forward,0.46,Anode,hole,1.01371155476965e-11,1.0131550454929747e-11,5.565092766752197e-15,0.0005489818815389529,0.00023848526985453987,True
