id,mesh,branch,bias_V,vela_kcl_A_per_um,sentaurus_kcl_A_per_um,electron_continuity_ratio,hole_continuity_ratio,continuity_pass,electron_source_ratio_qualified,electron_port_net_A_per_um,electron_port_net_over_through_current,hole_source_ratio_qualified,hole_port_net_A_per_um,hole_port_net_over_through_current,converged,pass
P0,M0,reverse,-0.9,4.6915653445273065e-29,0.0,6.293681722822306e-12,0.0,True,True,7.452329353562835e-18,0.9418225856895835,True,-7.452329353515921e-18,0.9736059894196453,True,True
P0,M0,reverse,-1.0,4.753811400329902e-29,3.0814879110195774e-32,5.886123913434689e-12,1.5030959942465102e-16,True,True,8.074730303728714e-18,0.9458863532229537,True,-8.074730303681173e-18,0.9755073726111807,True,True
P0,M1,forward,0.0,9.67434709473007e-35,5.969307250269429e-40,1.2184704390896301e-12,4.2987138109695756e-13,True,False,-7.151388174199302e-35,7.151388174199302e-13,False,-2.5229589205307703e-35,2.5229589205307704e-13,True,True
P0,M1,forward,0.02,4.164934989118158e-25,2.0029671421627253e-32,9.51537692539062e-07,2.1066304071941422e-07,True,True,-5.62164066466802e-19,0.5207452190801095,True,5.621644829603006e-19,0.7123005171905754,True,True
P0,M1,forward,0.04,1.3198641808653885e-25,5.931864228712686e-32,1.2358593948158595e-07,2.6459856867091548e-08,True,True,-1.3589180953723138e-18,0.45356165071174026,True,1.3589182273587313e-18,0.6541346308143619,True,True
P0,M1,forward,0.06,4.0951965088529566e-24,6.933347799794049e-32,2.033012067087682e-06,4.0588301568529403e-07,True,True,-2.5168182907922196e-18,0.3825931955344488,True,2.5168223859887284e-18,0.5854046391127206,True,True
P0,M1,forward,0.08,4.877569107700533e-23,9.860761315262648e-32,1.3457680148920988e-05,1.9133288659208764e-06,True,True,-4.225013034157816e-18,0.31214297006090413,True,4.225061809848892e-18,0.5083617011658251,True,True
P0,M1,forward,0.1,4.804075112207432e-22,9.860761315262648e-32,7.824637987668436e-05,7.2501360186750804e-06,True,True,-6.7661314868567875e-18,0.24655934449891911,True,6.7666118943680144e-18,0.4271711336745193,True,True
P0,M1,forward,0.12,3.0102312655202283e-21,8.997944700177166e-31,0.00029658634387635084,1.1683511917823764e-05,True,True,-1.0562683603918001e-17,0.18912761128044756,True,1.0565693835183527e-17,0.3471055371275277,True,True
P0,M1,forward,0.14,1.2899554922625913e-20,2.0214560696288428e-30,0.0008002504961704645,6.918152665234603e-06,True,True,-1.6246951422654226e-17,0.14149208737044125,True,1.625985097757687e-17,0.27319452587135024,True,True
P0,M1,forward,0.16,4.3371536164550264e-20,3.993608332681372e-30,0.0017498999913294064,1.6879053856419842e-06,True,True,-2.4765668113792995e-17,0.10373415825559813,True,2.4809039649957558e-17,0.20901069483919235,True,True
P0,M1,forward,0.18,1.165065577461051e-19,1.0945445059941539e-29,0.003093689399672406,2.2300729277918953e-07,True,True,-3.7545622906626625e-17,0.07488412234230535,True,3.7662129464372705e-17,0.15616113354158512,True,True
P0,M1,forward,0.2,2.6570384949694227e-19,2.01159530831358e-29,0.004660578627155777,2.0665320486113227e-08,True,True,-5.67454622341032e-17,0.05345500899123793,True,5.70111660836002e-17,0.11450912552073607,True,True
P0,M1,forward,0.22,5.696012849656682e-19,9.860761315262648e-30,0.006609374116891658,1.6117412106177346e-09,True,True,-8.561124018144747e-17,0.03785336356984728,True,8.618084146641255e-17,0.08279227618199204,True,True
P0,M1,forward,0.24,1.2117895624113095e-18,3.944304526105059e-29,0.009305063636844349,1.5038498750811068e-10,True,True,-1.290172587384903e-16,0.02665198406355497,True,1.302290483009016e-16,0.05926082758549042,True,True
P0,M1,forward,0.26,4.148178590420155e-22,1.0097419586828951e-28,2.1069663824523848e-06,5.129064676992267e-15,True,True,-1.9687881147334326e-16,0.018938023938605705,True,1.968792262912023e-16,0.042131824757138385,True,True
P0,M1,forward,0.28,8.896381572311475e-22,0.0,2.9855581780652465e-06,1.511941094711806e-14,True,True,-2.979796068175697e-16,0.013314963198028397,True,2.979804964557222e-16,0.02983151648330249,True,True
P0,M1,forward,0.3,1.9190282871021568e-21,5.932234007262009e-28,4.247330822282535e-06,1.6504435970622588e-14,True,True,-4.518178852032207e-16,0.009362775465707893,True,4.518198042315047e-16,0.021081610872044396,True,True
P0,M1,forward,0.32,4.146426214805297e-21,0.0,6.037013330021252e-06,4.7839133145127e-14,True,True,-6.86829849347217e-16,0.006592778684363349,True,6.868339957734066e-16,0.014896735674793105,True,True
P0,M1,forward,0.34,8.966444928873614e-21,1.0097419586828951e-27,8.558459288386254e-06,2.832261336471959e-13,True,True,-1.0476616323649788e-15,0.004654421374238092,True,1.0476705988098572e-15,0.010542852033982895,True,True
