pair,id,branch,bias_V,contact,component,tool,relative_error,absolute_error_A_per_um,pass
M0/M1,P0,forward,0.38,Anode,total,candidate,0.00035254433041103685,5.33428135922236e-16,True
M0/M1,P0,forward,0.38,Anode,electron,reference,0.000275926938856501,2.8984314041989273e-16,True
M0/M1,P0,forward,0.38,Anode,electron,candidate,0.00027948223446505024,2.9341653850915206e-16,True
M0/M1,P0,forward,0.38,Anode,hole,reference,0.0005144750081749601,2.384475277959741e-16,True
M0/M1,P0,forward,0.38,Anode,hole,candidate,0.0005181335146937365,2.4001159741308393e-16,True
M0/M1,P0,forward,0.38,Cathode,total,reference,0.00034895737395932786,5.282906682600935e-16,True
M0/M1,P0,forward,0.38,Cathode,total,candidate,0.00035254585124569856,5.3343042227388485e-16,True
M0/M1,P0,forward,0.38,Cathode,electron,reference,0.0003807992068298313,4.0094702340007893e-16,True
M0/M1,P0,forward,0.38,Cathode,electron,candidate,0.0003843737957745489,4.0448871856249647e-16,True
M0/M1,P0,forward,0.38,Cathode,hole,reference,0.0002762320310488136,1.273436448510279e-16,True
M0/M1,P0,forward,0.38,Cathode,hole,candidate,0.0002798521905146359,1.2894170371159033e-16,True
M0/M1,P0,forward,0.4,Anode,total,reference,0.0003251598429208358,1.0650628017998472e-15,True
M0/M1,P0,forward,0.4,Anode,total,candidate,0.00032834586638606897,1.0749076643608282e-15,True
M0/M1,P0,forward,0.4,Anode,electron,reference,0.000276817550873307,6.294206060297528e-16,True
M0/M1,P0,forward,0.4,Anode,electron,candidate,0.0002799683988230653,6.362349543122186e-16,True
M0/M1,P0,forward,0.4,Anode,hole,reference,0.00043488934266146695,4.356421957700944e-16,True
M0/M1,P0,forward,0.4,Anode,hole,candidate,0.00043815511184868046,4.3867271004881155e-16,True
M0/M1,P0,forward,0.4,Cathode,total,reference,0.0003251598429270042,1.065062801820042e-15,True
M0/M1,P0,forward,0.4,Cathode,total,candidate,0.0003283473847380538,1.0749126051865596e-15,True
M0/M1,P0,forward,0.4,Cathode,electron,reference,0.0003461653915648805,7.884324515300671e-16,True
M0/M1,P0,forward,0.4,Cathode,electron,candidate,0.0003493285709106154,7.95199833159339e-16,True
M0/M1,P0,forward,0.4,Cathode,hole,reference,0.00027721595310157274,2.766303502930041e-16,True
M0/M1,P0,forward,0.4,Cathode,hole,candidate,0.00028045908422281665,2.7971277202762443e-16,True
M0/M1,P0,forward,0.42,Anode,total,reference,0.00030986775073416013,2.1962211304502785e-15,True
M0/M1,P0,forward,0.42,Anode,total,candidate,0.0003126638015454564,2.2148192118244705e-15,True
M0/M1,P0,forward,0.42,Anode,electron,reference,0.0002777113370796836,1.3667929765594602e-15,True
M0/M1,P0,forward,0.42,Anode,electron,candidate,0.00028046370288539415,1.3795793958081158e-15,True
M0/M1,P0,forward,0.42,Anode,hole,reference,0.0003829350555825255,8.294281538900105e-16,True
M0/M1,P0,forward,0.42,Anode,hole,candidate,0.00038583032254575886,8.352398160167587e-16,True
M0/M1,P0,forward,0.42,Cathode,total,reference,0.0003098677507440788,2.1962211305205565e-15,True
M0/M1,P0,forward,0.42,Cathode,total,candidate,0.00031266531777859115,2.2148298909620543e-15,True
M0/M1,P0,forward,0.42,Cathode,electron,reference,0.00032373110465532917,1.595236683110264e-15,True
M0/M1,P0,forward,0.42,Cathode,electron,candidate,0.00032649116047873505,1.6079521986905556e-15,True
M0/M1,P0,forward,0.42,Cathode,hole,reference,0.0002782401940269058,6.009844474098886e-16,True
M0/M1,P0,forward,0.42,Cathode,hole,candidate,0.0002811233317411932,6.068776922719026e-16,True
M0/M1,P0,forward,0.44,Anode,total,reference,0.00030013898145019025,4.60327872160076e-15,True
M0/M1,P0,forward,0.44,Anode,total,candidate,0.0003025475953627523,4.637664025897544e-15,True
M0/M1,P0,forward,0.44,Anode,electron,reference,0.00027859991924111897,2.9677937042999626e-15,True
M0/M1,P0,forward,0.44,Anode,electron,candidate,0.00028095054245064736,2.9911847903728517e-15,True
M0/M1,P0,forward,0.44,Anode,hole,reference,0.00034911735805086925,1.6354850173896547e-15,True
M0/M1,P0,forward,0.44,Anode,hole,candidate,0.0003516578150064847,1.6464792355238841e-15,True
M0/M1,P0,forward,0.44,Cathode,total,reference,0.00030013898143059145,4.603278721300261e-15,True
M0/M1,P0,forward,0.44,Cathode,total,candidate,0.00030254910958992415,4.637687108482397e-15,True
M0/M1,P0,forward,0.44,Cathode,electron,reference,0.0003092715197665861,3.297483830600105e-15,True
M0/M1,P0,forward,0.44,Cathode,electron,candidate,0.0003116267409706009,3.3207652469186507e-15,True
M0/M1,P0,forward,0.44,Cathode,hole,reference,0.0002793109936299011,1.3057948907599328e-15,True
M0/M1,P0,forward,0.44,Cathode,hole,candidate,0.0002818463424727294,1.3169218615629383e-15,True
