node_id,donors_cm3,acceptors_cm3
135,5000004915435818,33417689.016993888
136,5000039731479068,5.5145697221411873e-05
137,5000288512905731,4.9485267421489795e-06
138,5000039731479068,0.78399129994742423
139,5000288512905731,0.070351851710665089
140,5001882147118093,3.2726842434102954e-07
141,5011030614309396,1.5951302136105008e-08
142,5001882147118093,0.0046526857100148882
143,5011030614309396,0.00022677530120488595
144,5000039731479068,3288.2605589778409
145,5000288512905731,295.07370712755323
146,5000039731479068,4068895.8375796122
147,5000288512905731,365124.40458298265
148,5001882147118093,19.514557004124466
149,5011030614309396,0.95115376758945347
150,5001882147118093,24147.326023024987
151,5011030614309396,1176.9583147163769
152,5000000000000008,42487357793720.648
153,5000000000000008,48449443612023.734
154,5000000000000008,29202791792853.02
155,5000000000000008,566627294111159.88
156,5000000000000008,585689470161867.38
157,5000000000000008,513615765622669.62
158,5000000000000008,1801176977631888.8
159,5000000000000008,1816166530653578.2
160,5000000000000008,1757056562131943
161,5000000000000008,5175002925695826
162,5000000000000008,5218069754611274
163,5000000000000008,5048239547010374
164,5000000000000008,1686270515885221.5
165,5000000000000008,1592672927655850.8
166,5000000000000008,4844862532439097
167,5000000000000008,4575945152892144
168,5000000000000008,437692978143234.31
169,5000000000000008,353022994223997.62
170,5000000000000008,1481159350315710
171,5000000000000008,1357243689879113.8
172,5000000000000008,4255552933717377
173,5000000000000008,3899528004872196.5
174,5000000000000008,1094690240006434.2
175,5000000000000008,3145179660364157.5
176,5000000000000008,22553115815982.223
177,5000000000000008,16989832289367.453
178,5000000000000008,12817900828024.58
179,5000000000000008,9986414806649.0176
180,5000000000000008,272637237251651.19
181,5000000000000008,845421764488040.38
182,5000000000000008,2776321544529842.5
183,5000000000000008,2429000680668637
184,5000000000000008,205384523120283.78
185,5000000000000008,2111683891919787.2
186,5000000000000008,1829827618145552.5
187,5000000000000008,154951408826704.91
188,5000000000000008,1586048996130057.2
189,5000000000000008,1380505030438018
190,5000000000000008,120722500835310.61
191,5000000000000008,1075550206042933.5
192,5000000000000008,13776242298939678
193,5000000000000008,13890889397444730
194,5000000000000008,13438788766163420
195,5000000000000008,33147155157073388
196,5000000000000008,34262274237553636
197,5000000000000008,12897384042147408
198,5000000000000008,12181505996815362
199,5000000000000008,30046031405740504
200,5000000000000008,75752741605917360
201,5000000000000008,78301175315029264
202,5000000000000008,1.6040444902716538e+17
203,5000000000000008,1.6580069075157606e+17
204,5000000000000008,68665598678885104
205,5000000000000008,1.4539760924437158e+17
206,5000000000000008,11328598103733636
207,5000000000000008,10380833289943806
